ID_Venta,Fecha,Dia,Mes,Año,Trimestre,Nombre_Producto,Categoria,Subcategoria,Marca,Precio_Unitario,Nombre_Cliente,Sexo,Edad,Ciudad_Cliente,Estado_Cliente,Nombre_Sucursal,Ciudad_Sucursal,Estado_Sucursal,Región,Cantidad_Vendida,Ingreso_Total,Costo_Total,Ganancia
1,06/28/2024,,,,,Sofa 3p,Hogar,Muebles,MarcaG,"2400,0",Pedro López,M,36,sur,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,3,,4320.0,
2,2024-02-27,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,Juan Pérez,M,59,,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,3,5370.0,3222.0,
3,05/11/2024,,,,,Aspiradora X,Hogar,Electrodomestico,MarcaB,890.00,,F,19,Oeste,EstadoC,Sucursal Sur,CiudadC,EstadoC,Sur,3,2670.0,1602.0,
4,09-Jul-2024,,,,,Audifonos Q,Electronicos,Audio,MarcaF,220.40,Laura Gómez,F,48,,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste,1,220.4,132.24,
5,03/05/24,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,Juan Pérez,M,24,Norte,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste ,3,5370.0,3222.0,
6,14-May-2024,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,Juan Pérez,F,40,Norte ,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,3,5370.0,3222.0,
7,12/04/24,,,,,Audifonos Q,Electronicos,Audio,MarcaF,"220,4",Carlos Díaz,M,49,sur,EstadoA,Sucursal Central,CiudadA,EstadoA,Norte,5,1102.0,661.2,
8,01/28/2024,,,,,Audifonos Q,ELECTRONICOS,Audio,MarcaF,"220,4",,M,23,Oeste,EstadoB,Sucursal Central,CiudadA,EstadoA,Norte,4,881.6,528.96,
9,12/04/24,,,,,Camisa Casual,Ropa,Hombre,MarcaC,450.75,Pedro López,M,68,Centro,EstadoC,Sucursal Centro,CiudadD,EstadoA,Centro,1,450.75,N/A,
10,04/22/2024,,,,,Licuadora Pro,Hogar,Cocina,MarcaE,650.00,Ana Ruiz,F,45,Norte ,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,3,1950.0,1170.0,
11,24-May-2024,,,,,Camisa Casual,Ropa,Hombre,marcac,450.75,Laura Gómez,F,23,Norte ,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,1,450.75,270.45,
12,26/05/24,,,,,Camisa Casual,Ropa,Hombre,MarcaC,450.75,,M,57,,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,4,1803.0,1081.8,
13,29/02/24,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,N/A,Pedro López,M,49,Sur,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste,3,3751.5,2250.9,
14,21/04/24,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,Ana Ruiz,F,63,Centro,EstadoB,Sucursal Oeste,CiudadB,EstadoB,Oeste,1,1790.0,N/A,
15,24/05/24,,,,,Camisa Casual,Ropa,Hombre,MarcaC,450.75,Carlos Díaz,F,39,Norte ,EstadoB,Sucursal Central,CiudadA,EstadoA,Norte,3,1352.25,811.35,
16,04/01/24,,,,,Camisa Casual,Ropa,Hombre,MarcaC,450.75,Juan Pérez,F,45,Norte ,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,4,,1081.8,
17,08-Jun-2024,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,Ana Ruiz,M,59,sur,EstadoB,Sucursal Centro,CiudadD,EstadoA,Centro,2,4800.0,2880.0,
18,16-May-2024,,,,,"Smart TV 50""",ELECTRONICOS,TV,marcaa,1250.50,Luis Torres,F,52,Centro,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,1,1250.5,750.3,
19,2024-04-01,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,María Fernández,M,42,Centro,EstadoC,Sucursal Centro,CiudadD,EstadoA,Centro,2,,N/A,
20,29/02/24,,,,,Licuadora Pro,Hogar,Cocina,,650.00,Laura Gómez,F,62,,EstadoB,Sucursal Sur,CiudadC,EstadoC,Sur,4,2600.0,1560.0,
21,01/07/24,,,,,Aspiradora X,Hogar,Electrodomestico,MarcaB,890.00,Luis Torres,M,26,Oeste,EstadoA,Sucursal Central,CiudadA,EstadoA,norte,2,1780.0,N/A,
22,2024-03-09,,,,,Sofa 3p,Hogar,Muebles,,2400.00,Carlos Díaz,M,39,Norte,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste ,1,2400.0,1440.0,
23,2024-02-02,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,María Fernández,M,53,Centro,EstadoC,Sucursal Centro,CiudadD,EstadoA,centro,1,1790.0,1074.0,
24,2024-03-24,,,,,Camisa Casual,ROPA,Hombre,MarcaC,450.75,Juan Pérez,M,68,Sur,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,2,901.5,540.9,
25,2024-03-21,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,Ana Ruiz,M,58,sur,EstadoB,Sucursal Sur,CiudadC,EstadoC,Sur,5,,7200.0,
26,25-Jun-2024,,,,,Camisa Casual,Ropa,Hombre,MarcaC,450.75,Juan Pérez,M,49,,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste,1,450.75,270.45,
27,26/03/24,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,Laura Gómez,F,58,Sur,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,4,5002.0,3001.2,
28,22-Feb-2024,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,"1790,0",Pedro López,F,56,Norte ,EstadoC,Sucursal Sur,CiudadC,EstadoC,sur,5,8950.0,5370.0,
29,22-Jun-2024,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,Ana Ruiz,M,19,Centroo,EstadoA,Sucursal Central,CiudadA,EstadoA,Norte,5,12000.0,7200.0,
30,19-Jan-2024,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,Carlos Díaz,M,20,Centroo,EstadoA,Sucursal Central,CiudadA,EstadoA,Norte,4,,5760.0,
31,22/04/24,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,Pedro López,F,61,Centroo,EstadoA,Sucursal Centro,CiudadD,EstadoA,centro,5,12000.0,N/A,
32,2024-05-22,,,,,Audifonos Q,Electronicos,Audio,MarcaF,220.40,María Fernández,M,33,sur,EstadoA,Sucursal Central,CiudadA,EstadoA,Norte,4,,528.96,
33,04/10/2024,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,N/A,María Fernández,M,34,Norte,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,5,8950.0,N/A,
34,25-Feb-2024,,,,,Aspiradora X,Hogar,Electrodomestico,MarcaB,890.00,Pedro López,M,50,Norte ,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,3,2670.0,1602.0,
35,08/05/24,,,,,Camisa Casual,Ropa,Hombre,MarcaC,450.75,Juan Pérez,M,48,Centroo,EstadoB,Sucursal Sur,CiudadC,EstadoC,Sur,5,2253.75,1352.25,
36,04/01/24,,,,,Licuadora Pro,Hogar,Cocina,MarcaE,650.00,Ana Ruiz,F,48,,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,3,1950.0,1170.0,
37,16/02/24,,,,,Sofa 3p,Hogar,Muebles,MarcaG,"2400,0",Ana Ruiz,M,68,sur,EstadoB,Sucursal Centro,CiudadD,EstadoA,Centro,2,4800.0,2880.0,
38,2024-01-30,,,,,Sofa 3p,Hogar,Muebles,MarcaG,"2400,0",Pedro López,M,21,Centro,EstadoA,Sucursal Central,CiudadA,EstadoA,Norte,5,12000.0,7200.0,
39,30/05/24,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,María Fernández,F,25,Oeste,EstadoA,Sucursal Centro,CiudadD,EstadoA,Centro,5,6252.5,3751.5,
40,2024-05-28,,,,,Audifonos Q,ELECTRONICOS,Audio,MarcaF,220.40,Ana Ruiz,M,31,Centro,EstadoA,Sucursal Central,CiudadA,EstadoA,Norte,1,220.4,132.24,
41,08/04/24,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,Sofía Morales,F,31,Centro,EstadoC,Sucursal Sur,CiudadC,EstadoC,Sur,2,,1500.6,
42,18/01/24,,,,,Licuadora Pro,Hogar,Cocina,MarcaE,650.00,,M,54,Oeste,EstadoB,Sucursal Sur,CiudadC,EstadoC,Sur,2,1300.0,780.0,
43,2024-04-20,,,,,Aspiradora X,Hogar,Electrodomestico,MarcaB,"890,0",Sofía Morales,F,66,Oeste,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste,4,3560.0,2136.0,
44,21/01/24,,,,,Audifonos Q,Electronicos,Audio,MarcaF,220.40,Laura Gómez,F,28,Norte ,EstadoB,Sucursal Central,CiudadA,EstadoA,Norte,1,,132.24,
45,15-Mar-2024,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,"1790,0",Juan Pérez,F,55,Sur,EstadoB,Sucursal Central,CiudadA,EstadoA,Norte,2,3580.0,2148.0,
46,19/05/24,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,María Fernández,M,28,sur,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,2,2501.0,1500.6,
47,10/04/24,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,Sofía Morales,F,52,Norte ,EstadoC,Sucursal Sur,CiudadC,EstadoC,Sur,4,9600.0,5760.0,
48,29-Feb-2024,,,,,Audifonos Q,Electronicos,Audio,MarcaF,220.40,,M,31,Oeste,EstadoB,Sucursal Central,CiudadA,EstadoA,Norte,3,661.2,396.72,
49,13/04/24,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,María Fernández,M,40,sur,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste,2,4800.0,2880.0,
50,10/07/24,,,,,Aspiradora X,Hogar,Electrodomestico,MarcaB,"890,0",Juan Pérez,F,47,sur,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,1,890.0,534.0,
51,06/04/24,,,,,Aspiradora X,Hogar,Electrodomestico,MarcaB,890.00,Laura Gómez,M,41,Oeste,EstadoC,Sucursal Centro,CiudadD,EstadoA,Centro,4,3560.0,2136.0,
52,27/05/24,,,,,Licuadora Pro,Hogar,Cocina,,N/A,María Fernández,F,25,sur,EstadoC,Sucursal Sur,CiudadC,EstadoC,Sur,2,1300.0,780.0,
53,08-Mar-2024,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,Juan Pérez,F,48,Centro,EstadoA,Sucursal Centro,CiudadD,EstadoA,Centro,1,1790.0,1074.0,
54,01-Jan-2024,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,Sofía Morales,M,38,sur,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,1,,750.3,
55,06/10/2024,,,,,Aspiradora X,Hogar,Electrodomestico,,890.00,Carlos Díaz,F,41,Norte,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste ,1,890.0,534.0,
56,14/04/24,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,Sofía Morales,M,24,Norte,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,3,5370.0,3222.0,
57,18-Mar-2024,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,María Fernández,F,66,Centro,EstadoB,Sucursal Sur,CiudadC,EstadoC,Sur,1,1250.5,N/A,
58,03/27/2024,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,"1250,5",Luis Torres,M,25,Norte,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,3,3751.5,2250.9,
59,04/02/24,,,,,Aspiradora X,Hogar,Electrodomestico,,"890,0",Sofía Morales,F,60,,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,2,,N/A,
60,22-Mar-2024,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,"1790,0",Laura Gómez,M,59,sur,EstadoB,Sucursal Central,CiudadA,EstadoA,Norte ,4,7160.0,4296.0,
61,17/04/24,,,,,Audifonos Q,Electronicos,Audio,MarcaF,"220,4",Sofía Morales,M,63,sur,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,1,220.4,132.24,
62,29/01/24,,,,,Aspiradora X,Hogar,Electrodomestico,MarcaB,890.00,María Fernández,F,38,Centro,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,1,890.0,534.0,
63,16/06/24,,,,,Camisa Casual,Ropa,Hombre,MarcaC,450.75,Pedro López,M,27,Centroo,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,2,901.5,540.9,
64,28-May-2024,,,,,Licuadora Pro,Hogar,Cocina,MarcaE,650.00,Laura Gómez,M,56,,EstadoC,Sucursal Centro,CiudadD,EstadoA,Centro,5,3250.0,1950.0,
65,18/04/24,,,,,Camisa Casual,Ropa,Hombre,,450.75,Ana Ruiz,M,26,Norte,EstadoA,Sucursal Centro,CiudadD,EstadoA,Centro,2,901.5,N/A,
66,19/01/24,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,"1790,0",Juan Pérez,M,34,Centro,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,3,5370.0,3222.0,
67,12/01/24,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,N/A,Luis Torres,M,40,Centro,EstadoA,Sucursal Oeste,CiudadB,EstadoB,Oeste,5,6252.5,3751.5,
68,2024-06-15,,,,,Smartphone Z,Electronicos,Telefonia,MarcaD,1790.00,Luis Torres,M,31,sur,EstadoC,Sucursal Sur,CiudadC,EstadoC,Sur,3,5370.0,3222.0,
69,01-Jun-2024,,,,,Licuadora Pro,HOGAR,Cocina,,650.00,Ana Ruiz,M,52,Centro,EstadoB,Sucursal Central,CiudadA,EstadoA,norte,5,3250.0,1950.0,
70,2024-07-03,,,,,Audifonos Q,electrónicos,Audio,MarcaF,220.40,,F,47,Norte,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste,1,,132.24,
71,06/29/2024,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,Juan Pérez,M,41,Oeste,EstadoC,Sucursal Central,CiudadA,EstadoA,Norte,3,3751.5,2250.9,
72,21/02/24,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,María Fernández,M,68,Centroo,EstadoB,Sucursal Sur,CiudadC,EstadoC,Sur,2,,2880.0,
73,2024-04-08,,,,,"Smart TV 50""",Electronicos,TV,MarcaA,1250.50,Carlos Díaz,F,35,Norte ,EstadoA,Sucursal Centro,CiudadD,EstadoA,Centro,5,6252.5,3751.5,
74,02/05/24,,,,,Camisa Casual,Ropa,Hombre,MarcaC,"450,75",,F,29,Centro,EstadoA,Sucursal Sur,CiudadC,EstadoC,Sur,3,,811.35,
75,06/02/24,,,,,Audifonos Q,Electronicos,Audio,MarcaF,220.40,Pedro López,M,34,Centro,EstadoA,Sucursal Central,CiudadA,EstadoA,Norte,2,440.8,264.48,
76,06/04/24,,,,,Smartphone Z,Electronicos,Telefonia,marcad,1790.00,,M,59,Oeste,EstadoC,Sucursal Oeste,CiudadB,EstadoB,Oeste,5,8950.0,5370.0,
77,08/02/24,,,,,Audifonos Q,Electronicos,Audio,MarcaF,"220,4",Luis Torres,F,49,Centroo,EstadoB,Sucursal Sur,CiudadC,EstadoC,Sur,2,440.8,264.48,
78,03/03/24,,,,,Aspiradora X,HOGAR,Electrodomestico,MarcaB,890.00,Pedro López,M,39,Oeste,EstadoB,Sucursal Oeste,CiudadB,EstadoB,Oeste,4,,2136.0,
79,29/01/24,,,,,Sofa 3p,Hogar,Muebles,MarcaG,2400.00,Laura Gómez,M,29,sur,EstadoA,Sucursal Centro,CiudadD,EstadoA,centro,3,7200.0,N/A,
